Price,Close,High,Low,Open,Volume,Ticker,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,MSFT,MSFT,MSFT,MSFT,MSFT,NVDA,NVDA,NVDA,NVDA,NVDA,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,TSLA,TSLA,TSLA,TSLA,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-12,,,,,,MSFT,101.84537506103516,103.39763927880637,99.56810154833016,101.32485702190863,47742100.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-15,,,,,,MSFT,100.01428985595703,101.76175598929017,99.41011288627331,101.23194078943524,32068100.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-16,,,,,,MSFT,103.174560546875,103.55565917444926,101.2690815920564,101.81749060147584,31610200.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-17,,,,,,MSFT,102.90502166748047,103.92747101938822,101.82680454284991,103.80663848131293,26548200.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-18,,,,,,MSFT,100.85083770751953,102.7377232138544,100.2280738678823,102.33803758259663,32506200.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-19,,,,,,MSFT,100.99954986572266,103.04444857720601,100.58127029415043,101.25051193544392,32785500.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-22,,,,,,MSFT,101.90116882324219,102.74701794415407,100.60916329539974,101.61302584828586,26545600.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-23,,,,,,MSFT,100.47899627685547,101.28766421366028,97.69979194325478,100.17225942928893,43770400.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-24,,,,,,MSFT,95.10651397705078,100.84153175308053,94.427975326967,100.76717708458007,63897800.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-25,,,,,,MSFT,100.6649169921875,101.566526609921,98.66648930024881,99.0382909555092,61646800.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-26,,,,,,MSFT,99.41937255859375,101.08317930339832,97.37447429665266,98.23891004470138,55523100.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-29,,,,,,MSFT,96.52862548828125,101.0367014941161,94.46513324403071,100.48829960315321,55162000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30,,,,,,MSFT,96.41709899902344,97.02126870728466,93.05230432150927,96.35203424160176,65350900.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-31,,,,,,MSFT,99.27996063232422,100.5161981798028,97.96007143156353,98.00654929996053,51062400.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-01,,,,,,MSFT,98.45269775390625,99.75399995807089,98.09019310231041,99.50303792678396,33384200.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-02,,,,,,MSFT,98.67578125,99.75399819448464,97.5789703233627,98.97322114070539,37680200.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-05,,,,,,MSFT,99.93061065673828,100.1443918216972,98.4341141359189,98.8709805489133,27922100.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-06,,,,,,MSFT,100.12579345703125,101.16682946246759,98.78731048829775,99.80975960429099,24340200.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-07,,,,,,MSFT,104.06688690185547,104.32714593665378,101.68736762195445,101.72454849714376,37901700.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-08,,,,,,MSFT,103.87167358398438,104.29924293298907,103.09089662272157,103.91815144233239,25644100.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-09,,,,,,MSFT,101.84537506103516,103.5928335434788,101.09248188422336,103.03513463133946,32039200.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-12,,,,,,MSFT,99.33572387695312,102.20787710155213,98.62000449988312,101.70594596597122,33621800.0,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-13,,,,,,MSFT,99.40081024169922,101.0739072992039,99.12195718635121,99.96780625378645,35374600.0,,,,,,,,,,,,,,,,,,,,,,,,,
